APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
partur,pigeon pea (tur),2014,10.0,-1629.0,jalna,maharashtra
palghar(bevur),wheat(husked),2014,451.0,-366.0,thane,maharashtra
mahagaon,sorgum(jawar),2015,-90.0,-90.0,yewatmal,maharashtra
mahagaon,sorgum(jawar),2016,-104.79999999999995,-104.79999999999995,yewatmal,maharashtra
malegaon,sunflower,2015,-15.0,-15.0,nasik,maharashtra
navapur,cotton,2015,-80.0,-80.0,nandurbar,maharashtra
gevrai,sunflower,2014,-750.0,-750.0,beed,maharashtra
gevrai,sunflower,2015,-942.0,-942.0,beed,maharashtra
gevrai,sunflower,2016,-399.0,-399.0,beed,maharashtra
latur,maize,2014,-220.5,-630.5,latur,maharashtra
latur,maize,2015,-71.66666666666674,-87.88888888888891,latur,maharashtra
sangamner,wheat(husked),2014,21.25,-166.5,ahmadnagar,maharashtra
varud-rajura bazar,pigeon pea (tur),2014,-306.75,-1596.0,amaravathi,maharashtra
devala,maize,2014,-206.0,-379.75,nasik,maharashtra
devala,maize,2015,-136.58333333333326,-137.16666666666674,nasik,maharashtra
indapur-bhigwan,bajri,2014,135.0,-459.0,pune,maharashtra
indapur-bhigwan,bajri,2016,125.27272727272725,-51.818181818181756,pune,maharashtra
chimur,pigeon pea (tur),2015,2908.0,-645.0,chandrapur,maharashtra
kannad,wheat(husked),2014,1.3333333333332575,-552.6666666666666,aurangabad,maharashtra
kannad,wheat(husked),2015,-92.44444444444434,-110.88888888888891,aurangabad,maharashtra
shirur,pigeon pea (tur),2014,-1266.6666666666665,-1931.6666666666665,pune,maharashtra
shirur,pigeon pea (tur),2015,-227.66666666666697,-53.16666666666697,pune,maharashtra
nilanga,wheat(husked),2014,-29.666666666666742,-268.66666666666674,latur,maharashtra
nilanga,wheat(husked),2015,-60.799999999999955,-60.40000000000009,latur,maharashtra
taloda,pigeon pea (tur),2014,-17.0,-17.0,nandurbar,maharashtra
devala,sorgum(jawar),2014,787.0,-188.25,nasik,maharashtra
devala,sorgum(jawar),2016,-124.81818181818176,-350.4545454545455,nasik,maharashtra
jintur,cotton,2014,179.5,-499.5,parbhani,maharashtra
karanja,sorgum(jawar),2014,-117.0,-625.25,wasim,maharashtra
karanja,sorgum(jawar),2015,-294.75,-285.66666666666674,wasim,maharashtra
karanja,sorgum(jawar),2016,-129.0999999999999,-419.20000000000005,wasim,maharashtra
koregaon,sorgum(jawar),2014,96.0,-93.75,satara,maharashtra
koregaon,sorgum(jawar),2016,-41.0,-34.75,satara,maharashtra
dondaicha,maize,2014,-225.25,-395.0,dhule,maharashtra
dondaicha,maize,2015,-208.91666666666674,-205.16666666666674,dhule,maharashtra
dondaicha,maize,2016,-38.36363636363626,-101.90909090909099,dhule,maharashtra
hinganghat,wheat(husked),2015,-95.0,-95.0,wardha,maharashtra
khamgaon,bajri,2014,-89.0,-604.6666666666666,buldhana,maharashtra
khamgaon,bajri,2015,-126.70000000000005,-165.20000000000005,buldhana,maharashtra
